category,item,n,mean_score,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count
Conceptual understanding,Conceptual Understanding: The simulation helped me understand the concept more clearly than textbook diagrams alone.,19,4.00,1,2,3,3,10
Engagement,Engagement: The simulation made the lesson more interesting.,19,4.37,1,1,2,1,14
Usability,Usability: The simulation was easy to use and the controls were clear.,19,4.26,1,0,4,2,12
Experimental skills,Experimental Skills: The activity improved my understanding of practical measurement and error calculation.,19,4.16,1,1,3,3,11
Conceptual understanding,Conceptual Understanding: Changing variables in real time helped me understand relationships between variables.,19,4.21,1,0,3,5,10
Conceptual understanding,Conceptual Understanding: The visual representation made the theory easier to understand.,19,4.42,1,1,1,2,14
Engagement,Engagement: The interactive features increased my curiosity about the topic.,18,4.22,1,1,2,3,11
Engagement,Engagement: I would like similar simulations in future physics lessons.,19,4.32,1,1,1,4,12
Usability,Usability: The measurement tools were useful for completing the experiment.,19,4.26,1,1,2,3,12
Usability,Usability: I completed the activity without major technical difficulties.,19,4.37,1,0,2,4,12
Experimental skills,Experimental Skills: The simulation and worksheet helped me connect theory with experiment.,19,4.37,1,0,2,4,12
Experimental skills,Experimental Skills: The activity helped me perform calculations more confidently.,19,4.32,1,0,1,7,10
